created_date,party_key,status,action_codes,risk_rating,outcomes,explanations,risk_score,updated_date
2024-11-14 04:48:01.000,1277a29b-a0a9-41eb-8de6-58f622992fe1,ok,[],Low Risk,"{rca=no match, account_opening_decision=approve, risk_scoring_decision=false, others_lists=no match, fraud=false, adverse_media=no match, pep=no match, overall_customer_screening=no match, sanctions=no match, waiting_enrichment=false, internal_lists=no ma",[],210,2024-11-14 04:48:01.000
2024-08-30 10:32:37.000,12c381c6-be3c-457d-91f5-4ddcb63c0772,ok,[],Low Risk,"{rca=no match, account_opening_decision=approve, risk_scoring_decision=false, others_lists=no match, fraud=false, adverse_media=no match, pep=no match, overall_customer_screening=no match, sanctions=no match, waiting_enrichment=false, internal_lists=no ma",[],210,2024-08-30 10:32:37.000
2024-08-30 11:00:39.000,12d5395c-8014-43bb-adec-a4678bc87654,ok,[],Low Risk,"{rca=no match, account_opening_decision=approve, risk_scoring_decision=false, others_lists=no match, fraud=false, adverse_media=no match, pep=no match, overall_customer_screening=no match, sanctions=no match, waiting_enrichment=false, internal_lists=no ma",[],210,2024-08-30 11:00:39.000
2024-05-28 16:28:07.000,12dcf59d-e092-4837-b038-3291c4076867,ok,[],Low Risk,"{rca=no match, account_opening_decision=approve, risk_scoring_decision=false, others_lists=no match, fraud=false, adverse_media=no match, pep=no match, overall_customer_screening=no match, sanctions=no match, waiting_enrichment=false, internal_lists=no ma",[],210,2024-05-28 16:28:07.000
2024-12-09 08:43:24.000,13f2b523-36f7-4cbb-87df-21ae4c87782c,ok,[],Low Risk,"{rca=no match, account_opening_decision=approve, risk_scoring_decision=false, others_lists=no match, fraud=false, adverse_media=no match, pep=no match, overall_customer_screening=no match, sanctions=no match, waiting_enrichment=false, internal_lists=no ma",[],210,2024-12-09 08:43:24.000
2025-01-21 10:10:47.000,14153998-2fe8-4278-9a04-f43cbb9b2094,ok,[],Low Risk,"{rca=no match, account_opening_decision=approve, risk_scoring_decision=false, others_lists=no match, fraud=false, adverse_media=no match, pep=no match, overall_customer_screening=no match, sanctions=no match, waiting_enrichment=false, internal_lists=no ma",[],235,2025-01-21 10:10:47.000
2024-09-06 12:57:04.000,14260b8f-4886-4e13-815f-a1981da17c1f,ok,[],Low Risk,"{rca=no match, account_opening_decision=approve, risk_scoring_decision=false, others_lists=no match, fraud=false, adverse_media=no match, pep=no match, overall_customer_screening=no match, sanctions=no match, waiting_enrichment=false, internal_lists=no ma",[],210,2024-09-06 12:57:04.000
2024-06-20 14:42:22.000,14a5d728-887b-4c0b-94aa-b946b886cc86,ok,[],Low Risk,"{rca=no match, account_opening_decision=approve, risk_scoring_decision=false, others_lists=no match, fraud=false, adverse_media=no match, pep=no match, overall_customer_screening=no match, sanctions=no match, waiting_enrichment=false, internal_lists=no ma",[],210,2024-06-20 14:42:22.000
2024-10-03 12:50:05.000,14c39929-d57f-4b3b-b7d2-7ab4b29b339f,ok,[],Low Risk,"{rca=no match, account_opening_decision=approve, risk_scoring_decision=false, others_lists=no match, fraud=false, adverse_media=no match, pep=no match, overall_customer_screening=no match, sanctions=no match, waiting_enrichment=false, internal_lists=no ma",[],210,2024-10-03 12:50:05.000
2024-06-19 13:54:43.000,14cd78a0-c362-4263-bbae-3dc413550571,ok,[],Low Risk,"{rca=no match, account_opening_decision=approve, risk_scoring_decision=false, others_lists=no match, fraud=false, adverse_media=no match, pep=no match, overall_customer_screening=no match, sanctions=no match, waiting_enrichment=false, internal_lists=no ma",[],210,2024-06-19 13:54:43.000
